/home/mikhail/anaconda3/envs/trash/bin/python /home/mikhail/Documents/Development/deep-reinforcement-learning/HW01/train.py
[-0.30151306  0.00077048]
[0.26694595 0.00164446]
Current score: -195.7
Current score: -195.0
Current score: -186.55
Current score: -186.35
Current score: -178.95
Current score: -181.05
Current score: -171.1
Current score: -169.85
Current score: -165.55
Current score: -163.3
Current score: -148.35
Current score: -142.4
Current score: -146.4
Current score: -145.45
Current score: -126.45
Current score: -126.8
Current score: -131.0
Current score: -122.3
Current score: -123.15
Current score: -130.3
Current score: -126.05
Current score: -126.15
Current score: -130.75
Current score: -137.35
Current score: -143.95
Current score: -124.75
Current score: -135.45
Current score: -123.9
Current score: -139.45
Current score: -130.75
Current score: -140.55
Current score: -138.4
Current score: -136.2
Current score: -158.55
Current score: -135.6
Current score: -144.0
Current score: -132.95
Current score: -130.9
Current score: -140.8
Current score: -156.95
Current score: -145.4
Current score: -152.1
Current score: -150.2
Current score: -138.35
Current score: -161.0
Current score: -136.0
Current score: -148.15
Current score: -155.1
Current score: -152.45
Current score: -166.7
Current score: -158.15
Current score: -169.1
Current score: -167.7
Current score: -168.75
Current score: -162.35
Current score: -158.05
Current score: -173.95
Current score: -185.5
Current score: -185.0
Current score: -170.25
Current score: -173.35
Current score: -177.05
Current score: -180.85
Current score: -165.95
Current score: -168.95
Current score: -166.35
Current score: -180.9
Current score: -163.2
Current score: -184.95
Current score: -180.95
Current score: -176.55
Current score: -188.75
Current score: -181.45
Current score: -188.85
Current score: -182.35
Current score: -184.25
Current score: -188.65
Current score: -184.45
Current score: -172.8
Current score: -180.35
Current score: -177.1
Current score: -181.5
Current score: -184.8
Current score: -175.2
Current score: -180.65
Current score: -187.7
Current score: -173.45
Current score: -180.85
Current score: -192.7
Current score: -184.3
Current score: -166.4
Current score: -183.7
Current score: -172.85
Current score: -188.45
Current score: -184.2
Current score: -177.1
Current score: -179.55
Current score: -167.2
Current score: -195.2
Current score: -187.0

Process finished with exit code 0
